Strain	Source	Isolation date (mo-yr)	Outbreak no.	PFGE pattern	PT	Canadian PFGE pattern	SRA Accession	BioHansel SHv0.5.0 subtype for assembly	BioHansel QC for assembly
SH14-022	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028775	2.2.2.1.2	PASS
SH14-023	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028776	2.2.2.1.2	PASS
SH14-024	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028777	2.2.2.1.2	PASS
SH14-025	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028778	2.2.2.1.2	PASS
SH14-026	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028779	2.2.2.1.2	PASS
SH14-027	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028780	2.2.2.1.2	PASS
SH14-028	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028781	2.2.2.1.2	PASS
SH12-011	Human	5-2012	NA	2	19	SHXAI.0001/SHBNI.0001	SRR3028782	2.2.2.2.1.2	PASS
SH10-001	Human	8-2010	NA	2	19	SHXAI.0001/SHBNI.0001	SRR3028783	2.2.2.2.1.2	PASS
SH11-001	Human	7-2011	NA	2	19	SHXAI.0001/SHBNI.0001	SRR3028784	2.2.2.2.1.2	PASS
SH10-002	Human	2-2010	NA	2	19	SHXAI.0001/SHBNI.0001	SRR3028785	2.2.3.1.2	PASS
SH12-012	Human	6-2012	NA	2	18	SHXAI.0001/SHBNI.0001	SRR3028786	2.2.3.1.1	PASS
SH12-014	Human	8-2012	NA	52	10	SHXAI.0009/SHBNI.0025	SRR3028787	1	PASS
SH12-013	Human	2-2012	NA	87	32	SHXAI.0197/SHBNI.0077	SRR3028788	1.1	PASS
SH10-014	Human	8-2010	NA	2	26	SHXAI.0001/SHBNI.0001	SRR3028789	2.2.1.1	PASS
SH11-002	Human	2-2011	NA	2	26	SHXAI.0001/SHBNI.0001	SRR3028790	2.2.1.1	PASS
SH10-015	Human	9-2010	NA	2	26	SHXAI.0001/SHBNI.0001	SRR3028791	2.2.1.1	PASS
SH08-001	Human	12-2008	NA	2	19	SHXAI.0001/SHBNI.0001	SRR3028792	2.2.3.1	PASS
SH09-29	Human	8-2009	NA	2	26	SHXAI.0001/SHBNI.0001	SRR3028793	2.2.2.1.2	PASS
SH10-30	Human	7-2010	NA	2	29	SHXAI.0001/SHBNI.0001	SRR3028794	2.2.2.1.2	PASS
									
									
									
									
